Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0380350001_01   35.794614 -114.140382   849.561       4.731    -4.040     5.292    -3.254
0380350028_01   36.158964 -113.921783   730.544       2.552    -0.709     2.627    -0.305
0380350035_01   35.393260 -114.298819   989.139      -1.881    -1.050    -1.694    -1.328
0380350050_01   36.134801 -113.943840   364.313       4.349    -5.284     5.109    -4.548
0380350056_01   36.102245 -113.919646   353.226       0.963    -4.197     1.597    -3.997
0380350067_01   36.098031 -113.869255  1371.652      -2.762     4.444    -3.410     3.958
0380350080_01   35.365273 -114.191717  1104.776       1.402    -2.020     1.694    -1.774
0380350105_01   36.089708 -113.844634  1350.561      -1.618    -0.715    -1.487    -0.955
0380350146_01   36.074497 -113.870060  1362.216      -0.593     1.988    -0.893     1.870
0380350238_01   36.229142 -113.730882  1733.782       5.967     2.731     5.460     3.614
0380350325_01   35.432709 -114.500914   911.925       3.132     2.295     2.733     2.750
0380350356_01   35.931681 -113.971582  1664.575       0.700     0.170     0.663     0.276
0380350365_01   36.191731 -113.993659   357.789       5.382    -0.525     5.396     0.313
0380350401_01   35.603585 -114.288846  1041.525       3.594    -3.457     4.079    -2.852
0380350406_01   36.578987 -113.720063  1620.082      -5.098    -3.658    -4.467    -4.390
0380350409_01   36.727554 -113.862688  1660.784       2.792     4.996     1.987     5.355
0380350411_01   36.601623 -113.839252  1323.985      -2.544     1.607    -2.758     1.194
0380350414_01   36.592586 -114.133594  1653.350      -4.085     6.355    -5.002     5.637
0380350432_01   35.474310 -114.379708   890.906      -5.210    -6.290    -4.167    -7.014
0380350434_01   35.560482 -114.391310   826.042      -6.217     0.125    -6.155    -0.841
0380350438_01   36.536297 -114.125909  1113.177       4.142    -0.872     4.220    -0.222
0380350439_01   35.656853 -114.366867   961.754       1.870    -0.256     1.884     0.037
0380350440_01   36.427640 -114.247319   778.851      -3.903    -1.282    -3.656    -1.866
0380350441_01   35.534394 -114.355788   882.981       1.770    -1.648     2.001    -1.351
0380350446_01   35.621284 -114.284611  1098.905       4.904    -5.170     5.636    -4.339
0380350449_01   36.371362 -114.217568   972.110      -1.539    -4.742    -0.790    -4.916
0380350451_01   35.359139 -114.320165  1179.283      -0.780    -3.515    -0.226    -3.588
0380350452_01   36.579527 -114.157195  1248.132       6.456    -1.486     6.595    -0.473
0380350460_01   35.363364 -114.235524  1039.087      -1.219     0.699    -1.312     0.500
0380350461_01   36.294277 -114.229441  1011.027      -2.512    -2.733    -2.059    -3.084
0380350466_01   36.320836 -114.217837  1020.610      -1.139     0.930    -1.267     0.742
0380350470_01   35.394323 -114.482412   707.111       4.742     1.204     4.492     1.925
0380350472_01   35.398400 -114.443934   991.416       2.539    -0.766     2.623    -0.361
0380350489_01   35.927598 -113.873780  1547.230       2.390     3.518     1.812     3.839
0380350498_01   35.794393 -114.140076   848.867       5.602     5.718     4.644     6.511
0380350499_01   35.463991 -114.341613   923.408      -4.318    -2.461    -3.880    -3.098
0380350569_01   35.352721 -114.167410  1151.491      -0.055    -3.555     0.495    -3.515
0380350648_01   35.710854 -114.170903   929.814       4.440     0.671     4.276     1.351
0380350700_01   35.602065 -114.255687  1075.949       2.614     3.608     2.019     3.965
0380350710_01   36.158687 -113.921532   722.940       1.537     0.236     1.479     0.471
0380350726_01   36.233647 -113.816867  1143.122       0.735    -6.245     1.685    -6.048
0380350774_01   36.203668 -114.057961   392.013       2.706    -3.237     3.171    -2.780
0380350799_01   36.726000 -113.827356  1443.557       0.958     3.830     0.357     3.925
0380350805_01   35.584838 -114.313218   925.830       2.307     0.895     2.136     1.241
0380350852_01   35.603321 -114.288498  1031.137       4.058    -1.676     4.261    -1.024
0380350867_01   36.149346 -113.768847  1803.800       6.046    -3.838     6.548    -2.849
0380350869_01   36.085474 -113.795266  1341.372       1.394    -4.101     2.005    -3.829
0380350875_01   36.346950 -114.047195   799.535       1.090    -4.823     1.817    -4.593
0380350877_01   36.472536 -113.911505   886.141      -4.400    -3.386    -3.824    -4.020
0380350879_01   36.592081 -114.133225  1713.493      -3.418    -0.170    -3.344    -0.692
0380350887_01   36.418123 -113.980046   753.316       1.323     2.703     0.889     2.872
0380350902_01   36.396500 -113.947455   618.695      -0.608     4.527    -1.298     4.377
0380350903_01   35.656607 -114.366556   950.369       3.616     0.210     3.534     0.768
0380350907_01   35.410205 -114.370123  1013.703       3.058     1.066     2.851     1.527
0380350910_01   35.333323 -114.174563  1075.074      -1.500    -5.637    -0.607    -5.793
0380350916_01   36.432406 -114.098349   789.102      -2.020     0.526    -2.076     0.208
0380350921_01   35.348951 -114.317742  1094.381       5.164    -3.150     5.580    -2.304
0380350923_01   35.372444 -114.031546  1095.721       4.645     0.872     4.445     1.583
0380350926_01   35.300941 -114.057239  1108.450      -0.976    -3.353    -0.444    -3.459
0380350928_01   35.319679 -114.022314  1061.312      -4.584    -5.613    -3.653    -6.250
0380350931_01   35.365054 -114.191329  1103.688      -1.965     1.151    -2.117     0.830
0380350934_01   36.677514 -114.121949  1033.668      -0.698    -6.637     0.328    -6.657
0380350936_01   36.671016 -114.080757  1322.569      -1.578    -4.306    -0.897    -4.489
0380350941_01   36.772489 -114.077404   541.119      -5.272    -2.345    -4.848    -3.126
0380360008_01   35.220244 -114.574473   172.405       0.152    -1.549     0.390    -1.507
0380360013_01   35.393259 -114.298820   989.871      -1.102     0.354    -1.143     0.178
0380360029_01   35.365268 -114.191711  1104.756       1.349    -2.595     1.731    -2.349
0380360083_01   35.432707 -114.500897   911.925       2.866     1.882     2.535     2.302
0380360113_01   35.239916 -114.576645   172.872      -0.484    -0.469    -0.406    -0.538
0380360179_01   35.137582 -114.113364   848.674      -0.195     0.166    -0.219     0.134
0380360181_01   35.176955 -114.063431   958.081      -4.345     1.251    -4.482     0.558
0380360185_01   35.474315 -114.379684   892.467      -3.505    -5.722    -2.573    -6.189
0380360230_01   35.382151 -114.501036   595.951       0.980    -1.719     1.233    -1.545
0380360262_01   35.212236 -114.506255   436.879       1.185    -2.260     1.520    -2.047
0380360291_01   35.258335 -114.574822   176.775      -5.723    -2.773    -5.222    -3.630
0380360308_01   35.218423 -114.276236   815.337       1.511     1.699     1.226     1.911
0380360316_01   35.200832 -114.563408   179.510       1.741    -2.833     2.158    -2.527
0380360365_01   35.254434 -114.037691  1030.509      -0.795    -0.131    -0.766    -0.253
0380360370_01   35.192859 -114.418135   836.320       1.905    -3.242     2.382    -2.902
0380360386_01   35.187636 -114.037223  1033.460      -0.048    -0.008    -0.048    -0.014
0380360390_01   35.224259 -114.221487   829.134      -2.454     5.197    -3.229     4.747
0380360442_01   35.293220 -114.565409   287.625      -0.756    -3.446    -0.212    -3.520
0380360446_01   35.185266 -114.532066   302.450       1.963     1.844     1.651     2.127
0380360461_01   35.214740 -114.033914  1022.979       0.321     0.105     0.299     0.154
0380360478_01   35.189672 -114.063627   986.740      -0.409     4.683    -1.132     4.557
0380360494_01   35.393016 -114.298123   994.342      -2.845    -0.182    -2.779    -0.621
0380360497_01   35.361778 -114.143083  1375.537       1.699     5.968     0.750     6.149
0380360507_01   35.537237 -113.949436   867.424      -1.059    -7.077     0.049    -7.149
0380360521_01   35.464001 -114.341685   919.146      -6.886    -6.063    -5.856    -7.051
0380360524_01   35.142492 -114.089497   875.784       4.421    -0.421     4.426     0.273
0380360532_01   35.135441 -114.314677   897.641       2.518     1.160     2.303     1.537
0380360567_01   35.293938 -114.439505   912.831      -4.138    -0.355    -4.028    -0.993
0380360573_01   35.258761 -114.401114  1279.613      -3.945    -4.879    -3.134    -5.423
0380360579_01   35.224500 -114.407624  1184.226       1.228    -6.248     2.179    -5.970
0380360584_01   35.603341 -114.288524  1030.161       2.131    -0.634     2.199    -0.295
0380360604_01   35.512380 -113.971672   885.682      -1.382    -5.002    -0.591    -5.151
